date,open,high,low,close,volume
4/23/04,12070,12130,12010,12130,
4/26/04,12160,12210,12090,12190,
4/27/04,12130,12130,12020,12070,
4/28/04,12060,12090,11960,11990,
4/30/04,11650,11740,11630,11730,
5/6/04,11770,11790,11540,11560,
5/7/04,11450,11580,11430,11480,
5/10/04,11370,11400,10820,10820,
5/11/04,10820,10970,10760,10900,
5/12/04,11020,11150,10980,11140,
5/13/04,11050,11050,10820,10830,
5/14/04,10890,10940,10740,10880,
5/17/04,10740,10780,10480,10490,
5/18/04,10550,10700,10520,10660,
5/19/04,10780,11000,10710,10940,
5/20/04,10920,11060,10750,10830,
5/21/04,10890,11090,10860,11050,
5/24/04,11070,11170,11030,11110,
5/25/04,11070,11070,10930,11000,
5/26/04,11150,11220,11130,11160,
5/27/04,11160,11230,11120,11140,
5/28/04,11290,11360,11260,11360,
5/31/04,11260,11300,11100,11250,
6/1/04,11220,11350,11170,11320,
6/2/04,11250,11270,11180,11240,
6/3/04,11300,11360,10960,11060,
6/4/04,11060,11150,11010,11150,
6/7/04,11250,11490,11240,11410,
6/8/04,11540,11550,11450,11500,
6/9/04,11520,11530,11410,11440,
6/10/04,11350,11630,11340,11630,
6/11/04,11590,11650,11470,11520,
6/14/04,11480,11620,11450,11460,
6/15/04,11430,11490,11340,11430,
6/16/04,11540,11680,11520,11590,
6/17/04,11630,11650,11500,11570,
6/18/04,11530,11550,11310,11440,
6/21/04,11530,11760,11520,11590,
6/22/04,11550,11580,11450,11550,
6/23/04,11670,11690,11540,11570,
6/24/04,11690,11760,11640,11730,
6/25/04,11770,11810,11650,11790,
6/28/04,11800,11880,11770,11860,
6/29/04,11820,11890,11780,11850,
6/30/04,11860,11890,11810,11890,
7/1/04,11960,11990,11850,11850,
7/2/04,11730,11770,11680,11750,
7/5/04,11630,11660,11490,11510,
7/6/04,11560,11600,11460,11470,
7/7/04,11310,11430,11240,11360,
7/8/04,11350,11420,11270,11290,
7/9/04,11320,11450,11270,11430,
7/12/04,11530,11610,11490,11570,
7/13/04,11530,11600,11490,11580,
7/14/04,11660,11690,11340,11360,
7/15/04,11420,11450,11310,11400,
7/16/04,11300,11480,11230,11410,
7/20/04,11270,11290,11180,11220,
7/21/04,11350,11430,11320,11410,
7/22/04,11230,11290,11200,11280,
7/23/04,11250,11270,11160,11190,
7/26/04,11100,11150,11040,11140,
7/27/04,11110,11180,11020,11070,
7/28/04,11200,11240,11150,11240,
7/29/04,11200,11210,11020,11120,
7/30/04,11270,11330,11230,11300,
8/2/04,11250,11280,11160,11230,
8/3/04,11240,11260,11100,11140,
8/4/04,11090,11100,10880,11050,
8/5/04,11080,11110,10980,11080,
8/6/04,10900,11000,10880,11000,
8/9/04,10750,10920,10740,10900,
8/10/04,10840,10970,10830,10920,
8/11/04,11040,11080,10990,11030,
8/12/04,11000,11100,10990,11020,
8/13/04,10820,10860,10760,10780,
8/16/04,10720,10740,10540,10670,
8/17/04,10780,10810,10700,10720,
8/18/04,10710,10780,10650,10730,
8/19/04,10850,10900,10820,10890,
8/20/04,10830,10940,10820,10910,
8/23/04,10960,11010,10930,10930,
8/24/04,10970,11010,10890,11010,
8/25/04,10970,11150,10930,11110,
8/26/04,11190,11220,11100,11120,
8/27/04,11150,11210,11100,11180,
8/30/04,11180,11220,11120,11180,
8/31/04,11120,11160,11040,11100,
9/1/04,11110,11170,11100,11150,
9/2/04,11170,11200,11090,11120,
9/3/04,11180,11200,10980,11000,
9/6/04,11090,11280,11050,11250,
9/7/04,11290,11320,11220,11310,
9/8/04,11350,11360,11260,11290,
9/9/04,11280,11330,11140,11140,
9/10/04,11000,11050,10910,11040,
9/13/04,11110,11220,11080,11220,
9/14/04,11290,11310,11230,11270,
9/15/04,11250,11260,11110,11120,
9/16/04,11060,11140,11050,11090,
9/17/04,11100,11110,11000,11070,
9/21/04,11130,11130,11020,11040,
9/22/04,11090,11100,10920,10980,
9/24/04,10860,10880,10780,10870,
9/27/04,10850,10890,10770,10870,
9/28/04,10790,10820,10730,10790,
9/29/04,10870,10880,10760,10790,
9/30/04,10860,10930,10830,10890,
10/1/04,10910,10990,10890,10960,
10/4/04,11120,11300,11110,11290,
10/5/04,11260,11300,11240,11270,
10/6/04,11220,11420,11220,11370,
10/7/04,11400,11420,11330,11360,
10/8/04,11330,11380,11290,11330,
10/12/04,11310,11330,11180,11230,
10/13/04,11240,11310,11190,11200,
10/14/04,11160,11160,11030,11060,
10/15/04,10950,11020,10900,10980,
10/18/04,11030,11030,10920,10960,
10/19/04,11050,11110,11020,11050,
10/20/04,10960,10970,10850,10860,
10/21/04,10880,10910,10750,10780,
10/22/04,10860,10900,10810,10830,
10/25/04,10590,10700,10540,10680,
10/26/04,10650,10690,10620,10690,
10/27/04,10740,10780,10650,10670,
10/28/04,10840,10880,10800,10820,
10/29/04,10750,10770,10700,10750,
11/1/04,10690,10740,10680,10710,
11/2/04,10770,10920,10770,10910,
11/4/04,11020,11040,10940,10940,
11/5/04,11060,11100,11020,11050,
11/8/04,11100,11120,10970,10980,
11/9/04,10980,11050,10940,10980,
11/10/04,10990,11030,10960,11010,
